Title,Production Budget,Distributor,Major Genre,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Big Daddy,30000000,Sony Pictures,Comedy,Dennis Dugan,40,4.7,48
Heist,35000000,New Line,Action,David Mamet,66,3.2,77
Dracula,40000000,Sony Pictures,Horror,Francis Ford Coppola,,6.4,136
Mr. And Mrs. Smith,110000000,20th Century Fox,Action,Doug Liman,,4.7,189
Ghost Town,20000000,Paramount Pictures,Romantic Comedy,David Koepp,85,4.7,310
Defiance,50000000,Paramount Vantage,Drama,Edward Zwick,56,5.9,362
Swingers,200000,Miramax,Comedy,Doug Liman,86,6.2,431
The Nutcracker,19000000,,,Emile Ardolino,50,5.2,561
No Looking Back,5000000,Gramercy,,Edward Burns,38,5.7,1145
The Greatest Story Ever Told,20000000,MGM,Drama,David Lean,39,6.3,3300
The Brothers McMullen,25000,Fox Searchlight,Drama,Edward Burns,91,6.4,4365
Set It Off,9000000,New Line,Drama,F. Gary Gray,61,6.3,4570
Gentleman's Agreement,2000000,,,Elia Kazan,83,7.4,4637
My Favorite Martian,60000000,Walt Disney Pictures,Comedy,Donald Petrie,13,4.5,4918
An American Carol,20000000,Vivendi Entertainment,Comedy,David Zucker,12,4.5,6000
First Daughter,30000000,20th Century Fox,Romantic Comedy,Forest Whitaker,8,4.7,6839
Welcome to Mooseport,26000000,20th Century Fox,Comedy,Donald Petrie,13,5.2,6907
The Cotton Club,48000000,Orion Pictures,Drama,Francis Ford Coppola,74,6.3,6940
She's the One,3500000,Fox Searchlight,Romantic Comedy,Edward Burns,60,6,8159
Mystic Pizza,6000000,Samuel Goldwyn Films,Comedy,Donald Petrie,82,5.9,8413
Flirting with Disaster,7000000,Miramax,Comedy,David O. Russell,86,6.7,8474
The Road to El Dorado,95000000,Dreamworks SKG,Adventure,David Silverman,49,6.4,8876
Hope Floats,30000000,20th Century Fox,Drama,Forest Whitaker,23,5.3,9168
Anacondas: The Hunt for the Blood Orchid,25000000,Sony Pictures,Horror,Dwight H. Little,,4.3,9565
Pollock,6000000,Sony Pictures Classics,Drama,Ed Harris,82,7.1,9669
Suspect Zero,27000000,Paramount Pictures,Thriller/Suspense,E. Elias Merhige,18,5.8,9804
Whiteout,35000000,Warner Bros.,Thriller/Suspense,Dominic Sena,7,5.3,10044
My Boss's Daughter,14000000,Miramax/Dimension,Romantic Comedy,David Zucker,9,4.3,10919
Halloween 4: The Return of Michael Myers,5000000,Universal,Horror,Dwight H. Little,23,5.6,11079
What a Girl Wants,25000000,Warner Bros.,Comedy,Dennie Gordon,34,5.7,12561
Ri¢hie Ri¢h,40000000,Warner Bros.,Comedy,Donald Petrie,25,4.7,12687
Antwone Fisher,12500000,Fox Searchlight,Drama,Denzel Washington,79,7.3,13258
Just My Luck,28000000,20th Century Fox,Romantic Comedy,Donald Petrie,13,5,13368
The Land Before Time,12300000,Universal,Adventure,Don Bluth,71,6.9,14017
Whip It,15000000,Fox Searchlight,Comedy,Drew Barrymore,84,7.1,14068
The Great Debaters,15000000,Weinstein Co.,Drama,Denzel Washington,79,7.6,14530
A Man Apart,36000000,New Line,Action,F. Gary Gray,11,5.7,14953
A Perfect Getaway,14000000,Universal,Thriller/Suspense,David Twohy,60,6.5,16324
Anastasia,53000000,20th Century Fox,Musical,Don Bluth,85,6.6,16513
Scott Pilgrim vs. The World,85000000,Universal,Comedy,Edgar Wright,81,8.1,17461
The Benchwarmers,35000000,Sony Pictures,Comedy,Dennis Dugan,12,5.4,17824
Shadow of the Vampire,8000000,Lionsgate,Drama,E. Elias Merhige,81,6.8,18221
Joe Dirt,16000000,Sony Pictures,Comedy,Dennie Gordon,11,5.4,18666
Saving Silverman,22000000,Sony Pictures,Comedy,Dennis Dugan,,5.6,18748
Courage Under Fire,46000000,20th Century Fox,Drama,Edward Zwick,85,6.6,19682
The Final Destination,40000000,Warner Bros.,Horror,David R. Ellis,27,4.9,20319
Friday,3500000,New Line,Comedy,F. Gary Gray,77,7,21623
Titan A.E.,75000000,20th Century Fox,Adventure,Don Bluth,51,6.4,22286
Appaloosa,20000000,Warner Bros.,Western,Ed Harris,76,6.8,22836
Bobby,14000000,MGM,Drama,Emilio Estevez,46,7.1,23262
Blindness,25000000,Miramax,Thriller/Suspense,Fernando Meirelles,42,6.6,25508
The Naked Gun 2?: The Smell of Fear,23000000,Paramount Pictures,Comedy,David Zucker,,6.6,26384
Eraserhead,100000,,,David Lynch,90,7.4,26595
A Stir of Echoes,12000000,Artisan,Thriller/Suspense,David Koepp,,7.1,26752
Doctor Zhivago,11000000,MGM,Drama,David Lean,84,8,27671
Cabin Fever,1500000,Lionsgate,Horror,Eli Roth,,5.4,28417
Madagascar: Escape 2 Africa,150000000,Paramount Pictures,Comedy,Eric Darnell,64,6.8,30285
